"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,7.2,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,8.1,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,6.1,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.2,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,5.4,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6.1,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,4.3,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,3.8,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.9,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,4.6,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,5.3,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,11.5,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,12.3,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,8.7,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,9.5,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.5,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,7.8,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,8.1,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,9.1,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,6.7,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,6.5,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.3,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6.3,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,4.8,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,10.6,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,9.8,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.5,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6.1,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,9,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,8.6,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.1,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.1,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,6.7,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6.3,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,2.6,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,15.1,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,10.6,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,8.7,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.7,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,8.8,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,10,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,11.6,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,9.9,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,9.6,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,9.5,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,9.9,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,5.9,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,9.4,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,8.1,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,10.9,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,6.6,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,4.2,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,12,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,14.1,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,17.2,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,15.4,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,16.3,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,28.9,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,8.7,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.6,,
